stock,EPS,P/E,growth_5_years,actual price,intrinsic value,price evaluation
SO,3.86,20.14,7.30%,77.17,83.41544919999998,0.9251283873683199
GE,3.80,44.03,27.63%,165.26,213.54285819999998,0.7738961695699548
CCI,3.20,30.66,-8.67%,99.01,89.6056896,1.104952156966604
TJX,4.03,25.34,10.85%,100.16,113.20024170000002,0.8848037645135167
CME,8.79,24.45,3.09%,212.07,221.55638894999996,0.9571829591782126
TGT,8.92,16.28,18.34%,144.41,171.85050784,0.8403233823111639
VRTX,15.40,29.67,12.53%,450.8,514.1698254,0.8767531226658405
USB,3.01,13.47,1.40%,40.02,41.1123258,0.9734306980024955
NOC,14.37,32.46,29.69%,465.15,604.9392643799999,0.7689201666827339
BDX,4.67,48.99,0.25%,230.35,229.35525825,1.0043371220594197
CSX,1.83,18.46,10.90%,33.5,37.4640162,0.8941913707585893
